symbol,side,qty,entry_price,exit_price,closed_pnl,leverage,close_time_ms,close_time_utc,order_id,exec_type
ZECUSDT,BUY,0.64,307.77,311.0553125,-2.35268993,10.0,1776701407542,2026-04-20T16:10:07.542000+00:00,ae39e389-0a2d-41c6-8cbb-e685c515f4e0,Trade
SOLUSDT,BUY,2.7,84.68,85.95,-3.72020094,10.0,1776705491750,2026-04-20T17:18:11.750000+00:00,9dd61f9c-247b-4333-bc3d-574a2e4041c9,Trade
HIGHUSDT,SELL,718.5,0.31925,0.31589368,-2.75293205,10.0,1776710300273,2026-04-20T18:38:20.273000+00:00,4d5aac5a-d0b0-46de-98d7-5d59446a8f05,Trade
SUPERUSDT,SELL,1619.0,0.1398,0.13627687,-6.0060533,10.0,1776720015788,2026-04-20T21:20:15.788000+00:00,f99bbfc5-4ab8-45d2-b83e-7dea8fe407f9,Trade
RIVERUSDT,BUY,42.5,5.169,5.25813177,-4.0906563,10.0,1776727811958,2026-04-20T23:30:11.958000+00:00,65f1bc24-bf06-40b7-bdc1-cdfd396e1d8e,Trade
FARTCOINUSDT,BUY,1088.0,0.20214,0.20196864,-0.10149414,10.0,1776731385309,2026-04-21T00:29:45.309000+00:00,e0ccad06-9691-4845-aea0-c6e5a0ada959,Trade
SUIUSDT,SELL,530.0,0.9375,0.9448,3.07365955,40.0,1776731386283,2026-04-21T00:29:46.283000+00:00,c0d34171-82cd-4120-97ef-014f31d1547b,Trade
PIEVERSEUSDT,SELL,225.0,0.95998623,1.00002444,8.51268093,10.0,1776731387181,2026-04-21T00:29:47.181000+00:00,b89d0e17-f014-470d-8e70-5e93f6d06df8,Trade
LINKUSDT,BUY,23.2,9.287,9.3020388,-0.7801657,10.0,1776731388094,2026-04-21T00:29:48.094000+00:00,a27a2de0-5914-4277-9373-ff35c52b0a18,Trade
ENAUSDT,BUY,2040.0,0.11101686,0.11215,-2.7668604,10.0,1776748213550,2026-04-21T05:10:13.550000+00:00,343d4ab4-7fe5-46bf-8624-651a067f8aad,Trade
PIEVERSEUSDT,SELL,208.0,1.07848366,1.0042,-15.93861399,10.0,1776759607377,2026-04-21T08:20:07.377000+00:00,2463540d-753b-4aba-9440-50ed2f3787a2,Trade
BTCUSDT,BUY,0.006,75532.75,76631.1,-7.388192,10.0,1776761271192,2026-04-21T08:47:51.192000+00:00,3d4a882b-c791-427e-b526-4097414ec416,Trade
GUNUSDT,BUY,8819.0,0.025301,0.02458513,6.14287326,10.0,1776763642684,2026-04-21T09:27:22.684000+00:00,714bdf9e-35ba-4e4f-9629-2caf2c3471d3,Trade
MUSDT,SELL,52.0,3.9505,4.03734423,4.20279351,10.0,1776768574335,2026-04-21T10:49:34.335000+00:00,3407432b-440b-4a6b-8546-9fce28118635,Trade
ZECUSDT,SELL,0.63,331.74,325.09,-4.46954534,10.0,1776775227468,2026-04-21T12:40:27.468000+00:00,53354144-f183-4264-89c2-0c877c2506df,Trade
