symbol,side,qty,entry_price,exit_price,closed_pnl,leverage,close_time_ms,close_time_utc,order_id,exec_type
ARIAUSDT,SELL,152.0,0.639,0.66801,4.25777321,25.0,1775918119412,2026-04-11T14:35:19.412000+00:00,9a9cf481-4654-4b5d-b216-78670f7ed40d,Trade
ARIAUSDT,SELL,160.0,0.639,0.64881456,1.41397491,25.0,1775918368634,2026-04-11T14:39:28.634000+00:00,5ae8994c-9053-49a0-b4d7-b311eddd437f,Trade
BNBUSDT,SELL,0.13,606.1,607.2,-0.01791965,10.0,1775925655321,2026-04-11T16:40:55.321000+00:00,b6a841da-487e-4e5a-8269-f7a8371466f8,Trade
ETHUSDT,SELL,0.03,2240.91,2259.0,0.40821134,10.0,1775925774417,2026-04-11T16:42:54.417000+00:00,0057adcd-4956-4349-8caa-13ccba4b065e,Trade
HYPEUSDT,BUY,1.51,41.946,42.165,-0.41668442,10.0,1775926692027,2026-04-11T16:58:12.027000+00:00,25713e33-adb3-4fd8-8e26-f4e249cc3c8f,Trade
ZECUSDT,SELL,0.09,377.76,372.54,-0.537327,10.0,1775935210336,2026-04-11T19:20:10.336000+00:00,0fe3857c-40f7-479a-a962-b720323d5642,Trade
DOGEUSDT,SELL,371.0,0.09335,0.0941,0.20870605,10.0,1775935297613,2026-04-11T19:21:37.613000+00:00,55afcb24-d49a-4c4a-ba6f-163155416184,Trade
BTCUSDT,SELL,0.001,73128.7,73444.0,0.21552966,10.0,1775935326383,2026-04-11T19:22:06.383000+00:00,2f1e0ed8-a735-46ff-a180-5681bc69e69b,Trade
FFUSDT,SELL,742.0,0.09329,0.08966,-2.77665585,10.0,1775942114073,2026-04-11T21:15:14.073000+00:00,f87c074b-a212-4240-9e11-d2861b81426a,Trade
LINKUSDT,SELL,7.4,9.259,9.161,-0.861508,10.0,1775942728793,2026-04-11T21:25:28.793000+00:00,e9f996fa-75ee-4a82-9ac8-05c6fce988e4,Trade
WLDUSDT,SELL,219.3,0.2989,0.2996,0.06421016,10.0,1775946371131,2026-04-11T22:26:11.131000+00:00,e91d830d-8b4d-42fa-8986-023029ecc48a,Trade
